
0	می‌اندیشم	اندیش|می|می|می|می	می‌اندیشم	می+اندیش+م|می+اند+ی+ش+م|می+اند+ی+ش+م|می+اند+ی+ش+م|می+اند+ی+ش+م	O+O+Y+O+N1|O+O+Y+O+N1|O+O+Y+O+N1|O+O+Y+O+N1|O+v1+O	فعل حال اخباری:اول شخص مفرد|اسم + فعل سوم شخص جمع + ی + ضمیر ملکی سوم شخص مفرد + ضمیر ملکی اول شخص مفرد|اسم + فعل سوم شخص جمع + ی + ضمیر ملکی سوم شخص مفرد + فعل اول شخص مفرد|اسم + فعل سوم شخص جمع + ی + ضمیر ملکی سوم شخص مفرد + ضمیر ملکی اول شخص مفرد|اسم + فعل سوم شخص جمع + ی + ضمیر ملکی سوم شخص مفرد + فعل اول شخص مفرد
1	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
2	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
3	لطایف‌حیل	لطایف حیل	لطایف‌حیل	لطایف+حی+ل	O	N1
4	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
5	بدایع	بدایع	بدایع	بدایع	N1	اسم
6	تمویهات	تمویهات	تمویهات	ت+م+ویه+ات	O	N1
7	گرد	گرد|گرد|گرد|گرد|گر	گرد	گرد|گرد|گرد|گرد|گر+د	A0|N1|A0|V6|O+v1	فعل امر مثبت|صفت|اسم|صفت|فعل مضارع ساده:سوم شخص مفرد
8	این	این|این	این	این|این	N6|A1	صفت اشاره|ضمیر اشاره
9	غرض	غرض	غرض	غرض	N1	اسم
10	درآیم	درا|در|در|در|در|در|در|در|در	درآیم	درا+ی+م|در+ا+ی+م|در+ا+ی+م|در+ا+ی+م|در+ا+ی+م|در+ا+ی+م|در+ا+ی+م|در+ا+ی+م|در+ا+ی+م	O+Y+O+VPr|O+Y+O+VPr|O+Y+O+N1|O+Y+O+N1|O+Y+O+N1|O+Y+O+N1|O+Y+O+v1|O+Y+O+v1|O+v1	فعل مضارع ساده:اول شخص مفرد|ریشه مضارع + ا + ی + ضمیر ملکی اول شخص مفرد|ریشه مضارع + ا + ی + فعل اول شخص مفرد|اسم + ا + ی + ضمیر ملکی اول شخص مفرد|اسم + ا + ی + فعل اول شخص مفرد|اسم + ا + ی + ضمیر ملکی اول شخص مفرد|اسم + ا + ی + فعل اول شخص مفرد|پیشوند فعل + ا + ی + ضمیر ملکی اول شخص مفرد|پیشوند فعل + ا + ی + فعل اول شخص مفرد
