
0	وی	وی|وی	وی	وی|وی	Ab|N5	ضمیر فاعلی|اختصارات
1	افزود	افزود	افزود	افزود	|v2	فعل ماضی ساده:سوم شخص مفرد
2	:	:	:		O	

0	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
1	سال	سال	سال	سال	N1	اسم
2	۹۵	۹۵	۹۵	۹۵	Nu	عدد رقمی
3	نیز	نیز|آز	نیز	نیز|نی+آز	V6|Ad	قید|فعل امر منفی
4	آقای	آقا	آقای	آقا+ی	O	N1
5	اللهیاری	الله	اللهیاری	الله+یار+ی	Y+O+N1	اسم + یار + ی
6	برای	برای|برا|بر	برای	برای|برا+ی|بر+ا+ی	Y+O+v1|Y+A0|Pr	حرف اضافه|صفت + ی|ریشه مضارع + ا + ی
7	چند	چند	چند	چند	NA	ضمیر پرسشی
8	روز	روز	روز	روز	N1	اسم
9	بازداشت	بازداشت|بازداشت	بازداشت	بازداشت|بازداشت	N1|v2	فعل ماضی ساده:سوم شخص مفرد|اسم
10	شده بود	شد	شده بود	شد+ه+بود	|O+O+v2	فعل ماضی بعید:سوم شخص مفرد
11	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
12	با	با	با	با	Pr	حرف اضافه
13	ضمانت	ضمانت|ضمان|ضم	ضمانت	ضمانت|ضمان+ت|ضم+ان+ت	O+O+N1|O+N1|N1	اسم|اسم + ضمیر ملکی دوم شخص مفرد|اسم + ان + ضمیر ملکی دوم شخص مفرد
14	ملکی	ملکی|ملکی|ملک|ملک|ملک|مل	ملکی	ملکی|ملکی|ملک+ی|ملک+ی|ملک+ی|مل+ک+ی	Y+O+N1|Y+N1|Y+N1|Y+A0|A0|N4	اسم فامیل|صفت|صفت + ی|اسم + ی|اسم + ی|اسم + ک + ی
15	معاونش	معاون	معاونش	معاون+ش	O+N1	اسم + ضمیر ملکی سوم شخص مفرد
16	از	از	از	از	Pr	حرف اضافه
17	زندان	زندان|زن	زندان	زندان|زن+دان	O+N1|N1	اسم|اسم + دان
18	آزاد	آزاد	آزاد	آزاد	A0	صفت
19	شد	شد	شد	شد	|v2	فعل ماضی ساده:سوم شخص مفرد
20	،	،	،	،	O	
21	ولی	ولی|ولی|ول|ول	ولی	ولی|ولی|ول+ی|ول+ی	Y+N1|Y+A0|N1|C0	حرف ربط|اسم|صفت + ی|اسم + ی
22	از	از	از	از	Pr	حرف اضافه
23	آن	ان	آن	ان	Ab	اختصارات
24	زمان	زمان|زم	زمان	زمان|زم+ان	O+N1|N1	اسم|اسم + ان
25	تاکنون	تاکنون	تاکنون	تاکنون	Ad	قید
26	بقیه	بقیه|بقیه|قیه|بق|قی	بقیه	بقیه|بقیه|ب+قیه|بق+یه|ب+قی+ه	O+N1+O|O+N1|N1+O|N1|A0	صفت|اسم|ب + اسم|اسم + یه|ب + اسم + ه
27	پرونده‌ها	پرونده|پرو	پرونده	پرونده+ها|پرو+نده+ها	Pl+O+N1|Pl+N1	اسم + علامت جمع|اسم + نده + علامت جمع
28	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
29	سازمان	سازمان|ساز|ساز	سازمان	سازمان|ساز+مان|ساز+مان	O+N1|N1|O+v1	اسم|فعل مضارع ساده:سوم شخص مفرد|اسم + ضمیر ملکی اول شخص جمع
30	نظام	نظام	نظام	نظام	N1	اسم
31	روانشناسی	روان	روانشناسی	روان+شناس+ی	Y+O+A0	صفت + شناس + ی
32	مسکوت	مسکوت|مسکو	مسکوت	مسکوت|مسکو+ت	O+N2|A0	صفت|اسم خاص مکان + ضمیر ملکی دوم شخص مفرد
33	مانده بود	ماند|مان	مانده بود	ماند+ه+بود|مان+د+ه+بود	O+O+O+V1|O+O+v2	فعل ماضی بعید:سوم شخص مفرد|بن مضارع + د + ه + بود
34	.	.	.	.	Si	علامت نگارشی

0	عضو	عضو	عضو	عضو	N1	اسم
1	سازمان	سازمان|ساز|ساز	سازمان	سازمان|ساز+مان|ساز+مان	O+N1|N1|O+v1	اسم|فعل مضارع ساده:سوم شخص مفرد|اسم + ضمیر ملکی اول شخص جمع
2	نظام	نظام	نظام	نظام	N1	اسم
3	روانشناسی	روان	روانشناسی	روان+شناس+ی	Y+O+A0	صفت + شناس + ی
4	خاطرنشان‌	خاطرنشان	خاطرنشان‌	خاطرنشان	A0	صفت
5	کرد	کرد|کرد	کرد	کرد|کرد	N1|v2	فعل ماضی ساده:سوم شخص مفرد|اسم
6	:	:	:		O	

0	از	از	از	از	Pr	حرف اضافه
1	مهرماه	مهرماه	مهرماه	مهرماه	N1	اسم
2	سال	سال	سال	سال	N1	اسم
3	گذشته	گذشته|گذشت|گذشت	گذشته	گذشته|گذشت+ه|گذشت+ه	O+N1|O+v2|A0	صفت|ریشه ماضی + ه|اسم + ه
4	ردصلاحیت	ردصلاحیت	ردصلاحیت	ردصلاحیت	A0	صفت
5	رئیس	رییس	رئیس	رییس	N1	اسم
6	سازمان	سازمان|ساز|ساز	سازمان	سازمان|ساز+مان|ساز+مان	O+N1|N1|O+v1	اسم|فعل مضارع ساده:سوم شخص مفرد|اسم + ضمیر ملکی اول شخص جمع
7	روانشناسی	روان	روانشناسی	روان+شناس+ی	Y+O+A0	صفت + شناس + ی
8	توسط	توسط|توسط	توسط	توسط|توسط	N9|N1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
9	دفتر	دفتر	دفتر	دفتر	N1	اسم
10	رئیس‌جمهور	رییس‌جمهور	رئیس‌جمهور	رییس‌جمهور	N1	اسم
11	انجام	انجام|انجام	انجام	انجام|انجام	V6|N1	اسم|فعل امر مثبت
12	گرفت	گرفت|گرفت	گرفت	گرفت|گرفت	N1|v2	فعل ماضی ساده:سوم شخص مفرد|اسم
13	،	،	،	،	O	
14	ولی	ولی|ولی|ول|ول	ولی	ولی|ولی|ول+ی|ول+ی	Y+N1|Y+A0|N1|C0	حرف ربط|اسم|صفت + ی|اسم + ی
15	علی‌رغم	علی‌رغم	علی‌رغم	علی‌رغم	Pr1	حرف اضافه گروهی
16	این	این|این	این	این|این	N6|A1	صفت اشاره|ضمیر اشاره
17	ردصلاحیت	ردصلاحیت	ردصلاحیت	ردصلاحیت	A0	صفت
18	همچنان	همچنان|چنان	همچنان	همچنان|هم+چنان	A0+O|Ad	قید|هم + صفت
19	عباسعلی	عباسعلی	عباسعلی	عباسعلی	N3	اسم خاص اشخاص
20	اللهیاری	الله	اللهیاری	الله+یار+ی	Y+O+N1	اسم + یار + ی
21	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
22	کافه	کافه|کاف	کافه	کافه|کاف+ه	O+N1|N1	اسم|اسم + ه
23	یا	یا|یا	یا	یا|یا	Intj|C0	حرف ربط|صوت
24	تریا	تریا	تریا	تریا	N1	اسم
25	کارتابل	کارتابل	کارتابل	کارت+ا+بل	O	N1
26	سازمان	سازمان|ساز|ساز	سازمان	سازمان|ساز+مان|ساز+مان	O+N1|N1|O+v1	اسم|فعل مضارع ساده:سوم شخص مفرد|اسم + ضمیر ملکی اول شخص جمع
27	را	را	را	را	Po	حرف اضافه پسین
28	امضا	امضا	امضا	امضا	N1	اسم
29	می‌کرد	کرد	می‌کرد	می+کرد	|v2+O	فعل ماضی استمراری:سوم شخص مفرد
30	.	.	.	.	Si	علامت نگارشی

0	پنج‌شنبه‌ها	پنجشنبه	پنج شنبه	پنجشنبه+ها	Pl+N1	اسم + علامت جمع
1	به‌زودی	به‌زودی|زودی|زود	به‌زودی	به‌زودی|به+زودی|به+زود+ی	Y+A0+O|N1+O|Ad	قید|به + اسم|به + صفت + ی
2	می‌گذرند	می گذرند	می‌گذرند	می‌+گذر+ند	O	N1
3	.	.	.	.	Si	علامت نگارشی

0	دویست	دویست	دویست	دویست	No	عدد حرفی
1	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
2	هشتاد	هشتاد	هشتاد	هشتاد	No	عدد حرفی
3	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
4	نهمین	نه|نه	نهمین	نه+مین|نه+مین	O+V1|O+No	عدد حرفی + مین|بن مضارع + مین
5	سمینار	سمینار	سمینار	سمینار	N1	اسم
6	ادواری	ادواری|ادوار	ادواری	ادواری|ادوار+ی	Y+N1|A0	صفت|اسم + ی
7	عصب‌پژوهی	عصب پژوهی	عصب‌پژوهی	عصب+پژوه+ی	O	N1
8	اجتماعی	اجتماعی|اجتماع	اجتماعی	اجتماعی|اجتماع+ی	Y+N1|A0	صفت|اسم + ی
9	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
10	مغز‌پژوهی	مغز پژوهی	مغز‌پژوهی	مغز+پژوه+ی	O	N1
11	رشک	رشک|رش	رشک	رشک|رش+ک	O+N1|N1	اسم|اسم + ک
12	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
13	حسد	حسد	حسد	حسد	N1	اسم
14	اختصاص	اختصاص	اختصاص	اختصاص	N1	اسم
15	دارد	دار|دار	دارد	دار+د|دار+د	O+V5|O+v1	فعل مضارع ساده:سوم شخص مفرد|فعل کمکی + د
16	.	.	.	.	Si	علامت نگارشی

0	سخنران	سخنران	سخنران	سخنران	N1	اسم
1	این	این|این	این	این|این	N6|A1	صفت اشاره|ضمیر اشاره
2	نشست	نشست|نشست|شست	نشست	نشست|نشست|ن+شست	N1|v2|v2+Neg	فعل ماضی ساده:سوم شخص مفرد|اسم|فعل ماضی ساده منفی:سوم شخص مفرد
3	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
4	26	26	۲۶	26	Nu	عدد رقمی
5	مهر	مهر|مهر|مهر	مهر	مهر|مهر|مهر	N1|N1|N1	اسم|اسم|اسم
6	برگزار	برگزار|برگ	برگزار	برگزار|برگ+زار	O+N1|A0	صفت|اسم + زار
7	‌می‌شود	شو	‌می‌شود	می+شو+د	|O+v1+O	فعل حال اخباری:سوم شخص مفرد
8	دکتر	دکتر|دکتر	دکتر	دکتر|دکتر	Sp|A0	صفت|شاخص
9	آذرخش	آذرخش	آذرخش	آذرخش	N1	اسم
10	مکری	مکر	مکری	مکر+ی	Y+N1	اسم + ی
11	است	است|اس	است	است|اس+ت	O+N1|O+v1	فعل مضارع ساده:سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
12	.	.	.	.	Si	علامت نگارشی

0	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
1	این	این|این	این	این|این	N6|A1	صفت اشاره|ضمیر اشاره
2	سمینار	سمینار	سمینار	سمینار	N1	اسم
3	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
4	از	از	از	از	Pr	حرف اضافه
5	ساعت	ساعت	ساعت	ساعت	N1	اسم
6	هشت	هشت|هش	هشت	هشت|هش+ت	O+N1|No	عدد حرفی|اسم + ضمیر ملکی دوم شخص مفرد
7	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
8	نیم	نیم|نی|نی	نیم	نیم|نی+م|نی+م	O+N1|O+N1|N1	اسم|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد
9	صبح	صبح	صبح	صبح	N1	اسم
10	تا	تا|تا|تا	تا	تا|تا|تا	Ab|C0|Pr	حرف اضافه|حرف ربط|اختصارات
11	یازده	یازده	یازده	یازده	No	عدد حرفی
12	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
13	سالن	سالن	سالن	سالن	N1	اسم
14	کنفرانس	کنفرانس	کنفرانس	کنفرانس	N1	اسم
15	بیمارستان	بیمارستان|بیمار|مار	بیمارستان	بیمارستان|بیمار+ستان|بی+مار+ستان	O+N1+O|O+A0|N1	اسم|صفت + ستان|بی + اسم + ستان
16	ایرانمهر	ایران‌مهر	ایرانمهر	ایران‌مهر	N1	اسم
17	برقرار	برقرار	برقرار	برقرار	A0	صفت
18	است	است|اس	است	است|اس+ت	O+N1|O+v1	فعل مضارع ساده:سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
19	صاحب‌نظران	صاحب‌نظر	صاحب‌نظران	صاحب‌نظر+ان	O+A0	صفت + ان
20	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
21	علاقه‌مندان	علاقه‌مند|علاقه	علاقه‌مندان	علاقه‌مند+ان|علاقه+مند+ان	O+O+N1|O+A0	صفت + ان|اسم + مند + ان
22	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
23	موضوع	موضوع	موضوع	موضوع	N1	اسم
24	مغز‌پژوهی	مغز پژوهی	مغز‌پژوهی	مغز+پژوه+ی	O	N1
25	رشک	رشک|رش	رشک	رشک|رش+ک	O+N1|N1	اسم|اسم + ک
26	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
27	حسد	حسد	حسد	حسد	N1	اسم
28	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
29	بحث	بحث	بحث	بحث	N1	اسم
30	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
31	تبادل	تبادل	تبادل	تبادل	N1	اسم
32	نظر	نظر|نظر	نظر	نظر|نظر	N9|N1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
33	می‌پردازند	پرداز	می‌پردازند	می+پرداز+ند	|O+v1+O	فعل حال اخباری:سوم شخص جمع
34	.	.	.	.	Si	علامت نگارشی

0	ورود	ورود|ود	ورود	ورود|ور+ود	N1+O|N1	اسم|ور + اسم
1	برای	برای|برا|بر	برای	برای|برا+ی|بر+ا+ی	Y+O+v1|Y+A0|Pr	حرف اضافه|صفت + ی|ریشه مضارع + ا + ی
2	عموم	عموم|عمو|عمو	عموم	عموم|عمو+م|عمو+م	O+N1|O+N1|N1	اسم|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد
3	آزاد	آزاد	آزاد	آزاد	A0	صفت
4	است	است|اس	است	است|اس+ت	O+N1|O+v1	فعل مضارع ساده:سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
5	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
6	درباره	درباره|درباره|دربار	درباره	درباره|درباره|دربار+ه	O+N1|Pr1|N1	اسم|حرف اضافه گروهی|اسم + ه
