
0	ما	ما	﻿ما	ما	N5	ضمیر فاعلی
1	قادر	قادر	قادر	قادر	A0	صفت
2	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
3	ارائه	ارایه	ارائه	ارایه	N1	اسم
4	پاسخ	پاسخ	پاسخ	پاسخ	N1	اسم
5	مطمئن	مطمئن	مطمئن	مطمئن	A0	صفت
6	هست	هست|هست	هست	هست|هست	N1|O+v1	فعل مضارع ساده:سوم شخص مفرد|اسم
7	.	.	.	.	Si	علامت نگارشی

0	فهرست	فهرست|فهر	فهرست	فهرست|فهر+ست	O+N1|N1	اسم|اسم + ضمیر ملکی سوم شخص مفرد
1	خصوصیات	خصوصیات|خصوصی	خصوصیت	خصوصیات|خصوصی+ات	Pl+A0|N1	اسم|صفت + علامت جمع
2	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
3	حوزه	حوزه	حوزه	حوزه	N1	اسم
4	رده‌بندی	رده‌بندی	رده‌بندی	رده‌بندی	N1	اسم
5	گیاه	گیاه	گیاه	گیاه	N1	اسم
6	را	را	را	را	Po	حرف اضافه پسین
7	از	از	از	از	Pr	حرف اضافه
8	سایر	سایر	سایر	سایر	N1	اسم
9	حوزه	حوزه	حوزه	حوزه	N1	اسم
10	ی   ی	ی ی	ی ی	ی   ی	O	N1
11	زیست‌شناس	زیست‌شناس|زیست	زیست‌شناس	زیست‌شناس|زیست+شناس	O+N1|N1	اسم|اسم + شناس
12	جدا	جدا	جدا	جدا	A0	صفت
13	کرد | کن	کرد | کن	کرد | کن	کرد | کن	O	
14	حد	حد	حد	حد	N1	اسم
15	اقل	اقل	اقل	اقل	A0	صفت
16	یک	یک	یک	یک	No	عدد حرفی
17	تعریف	تعریف	تعریف	تعریف	N1	اسم
18	فن	فن|فن	فن	فن|فن	N1|N1	اسم|اسم
19	ارائه	ارایه	ارائه	ارایه	N1	اسم
20	کرد | کن	کرد | کن	کرد | کن	کرد | کن	O	
21	اما	اما	اما	اما	C0	حرف ربط
22	این	این|این	این	این|این	N6|A1	صفت اشاره|ضمیر اشاره
23	تعریف	تعریف	تعریف	تعریف	N1	اسم
24	مورد	مورد|مورد|مورد	مورد	مورد|مورد|مورد	N1|N9|N1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|اسم
25	پسند	پسند|پسند	پسند	پسند|پسند	N1|V6	فعل امر مثبت|اسم
26	همگان	همگان|همه|گان	همگان	همگان|همه+گان|هم+گان	N1+O|Pl+N1|N1	اسم|اسم + علامت جمع|هم + اسم
27	قرار	قرار|قرار	قرار	قرار|قرار	N9|N1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
28	گرفت | گیر	گرفت | گیر	گرفت | گیر	گرفت | گیر	O	
29	؛	؛	؛	؛	O	
30	بنابراین	بنابراین|برا|بر	بنابراین	بنابراین|ب+نا+برا+ین|ب+نا+بر+ا+ین	O+O+v1|O+A0+O+O|Ad	قید|ب + نا + صفت + ین|ریشه مضارع + ا + ین
31	تعریف	تعریف	تعریف	تعریف	N1	اسم
32	اصطلاح	اصطلاح	اصطلاح	اصطلاح	N1	اسم
33	گیاه	گیاه	گیاه	گیاه	N1	اسم
34	همیشه	همیشه	همیشه	همیشه	Ad	قید
35	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
36	معنی	معنا	معنی	معنا	N1	اسم
37	بیشتر	بیشتر|بیش|شتر	بیشتر	بیشتر|بیش+تر|بی+شتر	N1+O|O+A0|A0	صفت|صفت + علامت صفت تفضیلی|بی + اسم
38	موجودات	موجود	موجود	موجود+ات	Pl+A0	صفت + علامت جمع
39	زنده	زنده	زنده	زنده	A0	صفت
40	طبقه‌بندی	طبقه‌بندی	طبقه‌بندی	طبقه‌بندی	N1	اسم
41	شده	شد	شده	شد+ه	O+V3	فعل اسنادی + ه
42	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
43	محدوده	محدوده|محدود	محدوده	محدوده|محدود+ه	O+A0|N1	اسم|صفت + ه
44	رده‌بندی	رده‌بندی	رده‌بندی	رده‌بندی	N1	اسم
45	گیاه	گیاه	گیاه	گیاه	N1	اسم
46	بود | باش	بود | باش	بود | باش	بود | باش	O	
47	.	.	.	.	Si	علامت نگارشی

0	مثلا	مثلاً	مثلا	مثلاً	Ad	قید
1	«	«	«	«	O	
2	اگر	اگر	اگر	اگر	C0	حرف ربط
3	جلبک	جلبک|جلب	جلبک	جلبک|جلب+ک	O+N1|N1	اسم|اسم + ک
