0	﻿دانشکده	﻿دانشکده	﻿دانشکده	﻿دانشکده	N
1	مدیریت	مدیر	مدیریت	مدیریت	N
2	دانشگاه	دانشگاه	دانشگاه	دانشگاه	N
3	تهران	تهر	تهران	تهران	N
4	؛	؛	؛	؛	PUNC
5	داده	داده	داده	داده	V
6	کاوی	کاو	کاو	کاوی	N
7	چیست	چیس	چیست	چیست	V
8	و	و	و	و	CONJ
9	چه	چه	چه	چه	N
10	فایده‌ای	فایده	فایده	فایده|ای	N
11	دارد	دارد	داشت#دار	دارد	V
12	؟	؟	؟	؟	PUNC

0	داده	داده	داده	داده	V
1	کاوی	کاو	کاو	کاوی	N
2	علم	عل	علم	علم	N
3	و	و	و	و	CONJ
4	فنی	فن	فن	فنی	AJ
5	است	اس	#است	است	V
6	که	که	که	که	CONJ
7	در	در	در	در	P
8	سالهای	سال	سال	سالهای	Ne
9	اخیر	اخیر	اخیر	اخیر	AJ
10	و	و	و	و	CONJ
11	با	با	با	با	P
12	گسترش	گستر	گسترش	گسترش	N
13	استفاده	استفاده	استفاده	استفاده	N
14	از	از	از	از	P
15	فناوری	فناور	فناوری	فناوری	N
16	اطلاعات	اطلاع	اطلاعات	اطلاعات	N
17	و	و	و	و	CONJ
18	سیستم‌های	سیستم	سیستم‌های	سیستم|های	N
19	اطلاعاتی	اطلاعات	اطلاعات	اطلاعاتی	N
20	مورد	مورد	مورد	مورد	Ne
21	توجه	توجه	توجه	توجه	N
22	سازمان‌ها	سازمان	سازمان	سازمان|ها	N
23	قرار	قرار	قرار	قرار	N
24	گرفت	گرف	گرفت#گیر	گرفت	V
25	.	.	.	.	PUNC

0	داده	داده	داده	داده	V
1	کاوی	کاو	کاو	کاوی	N
2	کاربردهای	کاربرد	کاربرد	کاربردهای	Ne
3	مختلفی	مختلف	مختلف	مختلفی	AJ
4	برای	برا	برای	برای	Pe
5	سازمان‌ها	سازمان	سازمان	سازمان|ها	N
6	دارد	دارد	داشت#دار	دارد	V
7	و	و	و	و	CONJ
8	می‌تواند	می‌تواند	توانست#توان	می|تواند	V
9	برای	برا	برای	برای	Pe
10	شرکت‌ها	شرکت	شرکت	شرکت|ها	N
11	در	در	در	در	P
12	زمینه‌های	زمینه	زمینه	زمینه|های	Ne
13	مهمی	مهم	مهم	مهمی	AJ
14	مثل	مثل	مثل	مثل	ADVe
15	بازاریابی	بازاریاب	بازاریابی	بازاریابی	N
16	و	و	و	و	CONJ
17	فروش	فرو	فروش	فروش	N
18	بسیار	بسیار	بسیار	بسیار	ADV
19	راهگشا	راهگشا	راهگشا	راهگشا	AJ
20	و	و	و	و	CONJ
21	مفید	مفید	مفید	مفید	N
22	باشد	باشد	بود#باش	باشد	V
23	.	.	.	.	PUNC

0	در	در	در	در	P
1	ادامه	ادامه	ادامه	ادامه	N
2	با	با	با	با	P
3	مفهوم	مفهو	مفهوم	مفهوم	N
4	داده	داده	داده	داده	V
5	و	و	و	و	CONJ
6	اطلاعات	اطلاع	اطلاعات	اطلاعات	N
7	آشنا	آشنا	آشنا	آشنا	AJ
8	میشویم	میشو	میشویم	میشویم	V
9	و	و	و	و	CONJ
10	سپس	سپس	سپس	سپس	CONJ
11	با	با	با	با	P
12	معنای	معنا	معنا	معنای	Ne
13	داده	داده	داده	داده	V
14	کاوی	کاو	کاو	کاوی	N
15	و	و	و	و	CONJ
16	کاربردهای	کاربرد	کاربرد	کاربردهای	Ne
17	آن	آن	آن	آن	PRO
18	بیشتر	ب	بیشتر	بیشتر	AJ
19	آشنا	آشنا	آشنا	آشنا	AJ
20	خواهیم_شد	خواهیم_شد	شد#شو	خواهیم_شد	V
21	:	:	:	:	PUNC
22	داده	داده	داده	داده	V
23	با	با	با	با	P
24	اطلاعات	اطلاع	اطلاعات	اطلاعات	N
25	چه	چه	چه	چه	N
26	فرقی	فرق	فرق	فرقی	N
27	دارد	دارد	داشت#دار	دارد	V
28	؟	؟	؟	؟	PUNC

0	بسیاری	بسیار	بسیار	بسیاری	PRO
1	از	از	از	از	P
2	مردم	مرد	مردم	مردم	N
3	به	به	به	به	P
4	اشتباه	اشتباه	اشتباه	اشتباه	N
5	می‌پندارند	می‌پندارند	می‌پندارند	می|پندارند	V
6	که	که	که	که	CONJ
7	داده	داده	داده	داده	V
8	با	با	با	با	P
9	اطلاعات	اطلاع	اطلاعات	اطلاعات	N
10	تفاوت	تفاو	تفاوت	تفاوت	N
11	ندارد	ندارد	داشت#دار	ندارد	V
12	و	و	و	و	CONJ
13	عموما	عموما	عموما	عموما	ADV
14	این	این	این	این	PRO
15	دو	دو	دو	دو	NUM
16	واژه	واژه	واژه	واژه	N
17	را	را	را	را	POSTP
18	به	به	به	به	P
19	جای	جا	جای	جای	Ne
20	هم	ه	هم	هم	CONJ
21	استفاده	استفاده	استفاده	استفاده	N
22	می‌کنند	می‌کنند	کرد#کن	می|کنند	V
