0	﻿دانشکده	﻿دانشکده	﻿دانشکده	-
1	مدیریت	مدیر	مدیریت	-
2	دانشگاه	دانشگاه	دانشگاه	-
3	تهران	تهر	تهران	-
4	؛	؛	؛	-
5	داده	داده	داده	-
6	کاوی	کاو	کاو	-
7	چیست	چیس	چیست	-
8	و	و	و	-
9	چه	چه	چه	-
10	فایده‌ای	فایده	فایده	-
11	دارد	دارد	داشت#دار	-
12	؟	؟	؟	-

0	داده	داده	داده	-
1	کاوی	کاو	کاو	-
2	علم	عل	علم	-
3	و	و	و	-
4	فنی	فن	فن	-
5	است	اس	#است	-
6	که	که	که	-
7	در	در	در	-
8	سالهای	سال	سال	-
9	اخیر	اخیر	اخیر	-
10	و	و	و	-
11	با	با	با	-
12	گسترش	گستر	گسترش	-
13	استفاده	استفاده	استفاده	-
14	از	از	از	-
15	فناوری	فناور	فناوری	-
16	اطلاعات	اطلاع	اطلاعات	-
17	و	و	و	-
18	سیستم‌های	سیستم	سیستم‌های	-
19	اطلاعاتی	اطلاعات	اطلاعات	-
20	مورد	مورد	مورد	-
21	توجه	توجه	توجه	-
22	سازمان‌ها	سازمان	سازمان	-
23	قرار	قرار	قرار	-
24	گرفت	گرف	گرفت#گیر	-
25	.	.	.	-

0	داده	داده	داده	-
1	کاوی	کاو	کاو	-
2	کاربردهای	کاربرد	کاربرد	-
3	مختلفی	مختلف	مختلف	-
4	برای	برا	برای	-
5	سازمان‌ها	سازمان	سازمان	-
6	دارد	دارد	داشت#دار	-
7	و	و	و	-
8	می‌تواند	می‌تواند	توانست#توان	-
9	برای	برا	برای	-
10	شرکت‌ها	شرکت	شرکت	-
11	در	در	در	-
12	زمینه‌های	زمینه	زمینه	-
13	مهمی	مهم	مهم	-
14	مثل	مثل	مثل	-
15	بازاریابی	بازاریاب	بازاریابی	-
16	و	و	و	-
17	فروش	فرو	فروش	-
18	بسیار	بسیار	بسیار	-
19	راهگشا	راهگشا	راهگشا	-
20	و	و	و	-
21	مفید	مفید	مفید	-
22	باشد	باشد	بود#باش	-
23	.	.	.	-

0	در	در	در	-
1	ادامه	ادامه	ادامه	-
2	با	با	با	-
3	مفهوم	مفهو	مفهوم	-
4	داده	داده	داده	-
5	و	و	و	-
6	اطلاعات	اطلاع	اطلاعات	-
7	آشنا	آشنا	آشنا	-
8	میشویم	میشو	میشویم	-
9	و	و	و	-
10	سپس	سپس	سپس	-
11	با	با	با	-
12	معنای	معنا	معنا	-
13	داده	داده	داده	-
14	کاوی	کاو	کاو	-
15	و	و	و	-
16	کاربردهای	کاربرد	کاربرد	-
17	آن	آن	آن	-
18	بیشتر	ب	بیشتر	-
19	آشنا	آشنا	آشنا	-
20	خواهیم_شد	خواهیم_شد	شد#شو	-
21	:	:	:	-
22	داده	داده	داده	-
23	با	با	با	-
24	اطلاعات	اطلاع	اطلاعات	-
25	چه	چه	چه	-
26	فرقی	فرق	فرق	-
27	دارد	دارد	داشت#دار	-
28	؟	؟	؟	-

0	بسیاری	بسیار	بسیار	-
1	از	از	از	-
2	مردم	مرد	مردم	-
3	به	به	به	-
4	اشتباه	اشتباه	اشتباه	-
5	می‌پندارند	می‌پندارند	می‌پندارند	-
6	که	که	که	-
7	داده	داده	داده	-
8	با	با	با	-
9	اطلاعات	اطلاع	اطلاعات	-
10	تفاوت	تفاو	تفاوت	-
11	ندارد	ندارد	داشت#دار	-
12	و	و	و	-
13	عموما	عموما	عموما	-
14	این	این	این	-
15	دو	دو	دو	-
16	واژه	واژه	واژه	-
17	را	را	را	-
18	به	به	به	-
19	جای	جا	جای	-
20	هم	ه	هم	-
21	استفاده	استفاده	استفاده	-
22	می‌کنند	می‌کنند	کرد#کن	-
23	.	.	.	-

0	داده	داده	داده	-
1	می‌تواند	می‌تواند	توانست#توان	-
2	هر	هر	هر	-
3	نوع	نوع	نوع	-
4	از	از	از	-
5	کاراکتر	کاراک	کاراکتر	-
6	شامل	شامل	شامل	-
7	متن	متن	متن	-
8	،	،	،	-
9	عدد	عدد	عدد	-
10	،	،	،	-
11	کلمه	کلمه	کلمه	-
12	،	،	،	-
13	صدا	صدا	صدا	-
14	و	و	و	-
15	تصویر	تصویر	تصویر	-
16	باشد	باشد	بود#باش	-
17	و	و	و	-
18	در	در	در	-
19	صورتی	صورت	صورت	-
20	که	که	که	-
21	توسط	توسط	توسط	-
22	انسان	انس	انسان	-
