0	می‌اندیشم	اندیش|می|می|می|می	اندیش|می|می|می|می	می+اندیش+م|می+اند+ی+ش+م|می+اند+ی+ش+م|می+اند+ی+ش+م|می+اند+ی+ش+م	V|N1+V+Y+N+N|N1+V+Y+N+V|N1+V+Y+N+N|N1+V+Y+N+V	اول شخص مفرد|اسم + فعل سوم شخص جمع + ی + ضمیر ملکی سوم شخص مفرد + ضمیر ملکی اول شخص مفرد|اسم + فعل سوم شخص جمع + ی + ضمیر ملکی سوم شخص مفرد + فعل اول شخص مفرد|اسم + فعل سوم شخص جمع + ی + ضمیر ملکی سوم شخص مفرد + ضمیر ملکی اول شخص مفرد|اسم + فعل سوم شخص جمع + ی + ضمیر ملکی سوم شخص مفرد + فعل اول شخص مفرد
1	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
2	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
3	لطایف‌حیل	لطایف حیل	لطایف حیل	لطایف حیل	N
4	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
5	بدایع	بدایع	بدایع	بدایع	N1	اسم
6	تمویهات	تمویهات	تمویهات	تمویهات	N
7	گرد	گرد|گرد|گرد|گرد|گر	گرد|گرد|گرد|گرد|گر	گرد|گرد|گرد|گرد|گر+د	V|A0|N1|A0|V	فعل امر مثبت|صفت|اسم|صفت|سوم شخص مفرد
8	این	این|این	این|این	این|این	A1|N6	صفت اشاره|ضمیر اشاره
9	غرض	غرض	غرض	غرض	N1	اسم
10	درآیم	درآی	درآی	درآی+م	V	اول شخص مفرد
11	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
12	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
13	هر	هر	هر	هر	A1	صفت اشاره
14	وجه	وجه|وج	وجه|وج	وجه|وج+ه	N1|N1+O	اسم|اسم + ه
15	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
16	ممکن	ممکن	ممکن	ممکن	A0	صفت
17	گردد	گرد	گرد	گرد+د	V	سوم شخص مفرد
