0	﻿خواهشا	﻿خواهشا	﻿خواهشا	﻿خواهشا	N
1	من	من	من	من	N5	ضمیر فاعلی
2	را	را	را	را	Po	حرف اضافه پسین
3	محمد	محمد	محمد	محمد	N3	اسم خاص اشخاص
4	علی	علی|علی	علی|علی	علی|علی	N3|A0	اسم خاص اشخاص|صفت
5	صدا	صدا	صدا	صدا	N1	اسم
6	نزن	زن	زن	ن+زن	V	فعل امر منفی
7	.	.	.	.	Si	

0	علی	علی|علی	علی|علی	علی|علی	N3|A0	اسم خاص اشخاص|صفت
1	رضا	رضا	رضا	رضا	N3	اسم خاص اشخاص
2	رو	رو|رو|رو|رو	رو|رو|رو|رو	رو|رو|رو|رو	N1|V|V|N9	اسم|فعل امر مثبت|فعل امر مثبت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
3	یادت	یاد	یاد	یاد+ت	N1+N	اسم + ضمیر ملکی دوم شخص مفرد
4	ه	هـ|هـ	هـ|هـ	هـ|هـ	Al|Ab	حروف الفبا|اختصارات
5	برادرشو	برادرشو	برادرشو	برادرشو	N
6	پریروزها	پریروز	پریروز	پریروز	N
7	دیدم	دید|دید|دید	دید|دید|دید	دید+م|دید+م|دید+م	V|N1+N|N1+V	اول شخص مفرد|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد
8	.	.	.	.	Si	

0	یادش	یاد	یاد	یاد+ش	N1+N	اسم + ضمیر ملکی سوم شخص مفرد
1	بخیر	بخیر|خیر	بخیر|خیر	بخیر|ب+خیر	Ad|O+A0	قید|ب + صفت
2	چقدر	چقدر	چقدر	چقدر	Ad	قید
3	مسافرت‌هامون	مسافرت هامون	مسافرت هامون	مسافرت هامون	N
4	خوش	خوش	خوش	خوش	A0	صفت
5	می‌گذشت	گذشت	گذشت	می+گذشت	V	سوم شخص مفرد
6	.	.	.	.	Si	

0	دیروز	دیروز	دیروز	دیروز	Ad	قید
1	اسباب	اسباب	اسباب	اسباب	N1	اسم
2	بازیی	بازی	بازی	بازی	N
3	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
4	رضا	رضا	رضا	رضا	N3	اسم خاص اشخاص
5	بهم	هم|به|به	هم|به|به	ب+هم|به+م|به+م	O+Ad|N1+N|N1+V	ب + قید|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد
6	داده_بود	داده_بود	داده_بود	داده_بود	N
7	را	را	را	را	Po	حرف اضافه پسین
8	پس	پس|پس	پس|پس	پس|پس	Ad|N9	قید|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
9	گرفت	گرفت|گرفت	گرفت|گرفت	گرفت|گرفت	V|N1	سوم شخص مفرد|اسم
10	.	.	.	.	Si	

0	پنجشنبه‌ها	پنجشنبه	پنجشنبه	پنجشنبه+ها	N1+Pl	اسم + علامت جمع
1	روز	روز	روز	روز	N1	اسم
2	خوبی	خوبی|خوب	خوبی|خوب	خوبی|خوب+ی	N1|A0+Y	اسم|صفت + ی
3	ه	هـ|هـ	هـ|هـ	هـ|هـ	Al|Ab	حروف الفبا|اختصارات
4	برای	برای	برای	برای	Pr	حرف اضافه
5	من	من	من	من	N5	ضمیر فاعلی
6	.	.	.	.	Si	

0	آدم	آدم	آدم	آدم	N1	اسم
1	نمی‌تونه	نمی تونه	نمی تونه	نمی تونه	N
2	هر	هر	هر	هر	A1	صفت اشاره
3	روز	روز	روز	روز	N1	اسم
4	اینجوری	این‌جوری|این‌جور	این‌جوری|این‌جور	این‌جوری|این‌جور+ی	A0|A0+Y	صفت|صفت + ی
5	پاشه	پاش	پاش	پاش+ه	V1+O	بن مضارع + ه
6	.	.	.	.	Si	

0	دیروز	دیروز	دیروز	دیروز	Ad	قید
1	وقتی	وقتی|وقت	وقتی|وقت	وقتی|وقت+ی	Ad|N1+Y	قید|اسم + ی
2	رفته_بودیم	رفته_بودیم	رفته_بودیم	رفته_بودیم	N
3	استخر	استخر	استخر	استخر	N1	اسم
4	شهید	شهید|شه	شهید|شه	شهید|شه+ید	N1|N1+V	اسم|اسم + فعل دوم شخص جمع
5	بهشتی	بهشتی|بهشت|هشتی|هشت	بهشتی|بهشت|هشتی|هشت	بهشتی|بهشت+ی|ب+هشتی|ب+هشت+ی	A0|N1+Y|O+N1|O+No+Y	صفت|اسم + ی|ب + اسم|ب + عدد حرفی + ی
6	وسط	وسط	وسط	وسط	A0	صفت
7	راه	راه|راه	راه|راه	راه|راه	N1|N9	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
8	پام	پا	پا	پا	N
9	پیچ	پیچ|پیچ	پیچ|پیچ	پیچ|پیچ	V|N1	فعل امر مثبت|اسم
10	خورد	خورد|خورد|خور	خورد|خورد|خور	خورد|خورد|خور+د	V|N1|V	سوم شخص مفرد|اسم|سوم شخص مفرد
11	.	.	.	.	Si	

0	هر	هر	هر	هر	A1	صفت اشاره
1	روز	روز	روز	روز	N1	اسم
2	برای	برای	برای	برای	Pr	حرف اضافه
3	دوییدن	دوییدن	دوییدن	دوییدن	N
4	کله	کله|کله|کل|کل|کل|کل|کل	کله|کله|کل|کل|کل|کل|کل	کله|کله|کل+ه|کل+ه|کل+ه|کل+ه|کل+ه	N1|N1|A0+O|A0+O|N1+O|N1+O|N1+O	اسم|اسم|صفت + ه|صفت + ه|اسم + ه|اسم + ه|اسم + ه
5	سحر	سحر	سحر	سحر	N1	اسم
6	پا	پا|پا|پا	پا|پا|پا	پا|پا|پا	V|N1|N9	فعل امر مثبت|اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
7	میشم	میش|میش	میش|میش	میش+م|میش+م	N1+N|N1+V	اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد
8	.	.	.	.	Si	

0	صبح	صبح	صبح	صبح	N1	اسم
1	جمعه	جمعه|جمع	جمعه|جمع	جمعه|جمع+ه	N1|A0+O	اسم|صفت + ه
2	کله	کله|کله|کل|کل|کل|کل|کل	کله|کله|کل|کل|کل|کل|کل	کله|کله|کل+ه|کل+ه|کل+ه|کل+ه|کل+ه	N1|N1|A0+O|A0+O|N1+O|N1+O|N1+O	اسم|اسم|صفت + ه|صفت + ه|اسم + ه|اسم + ه|اسم + ه
3	پاچه	پاچه|پا	پاچه|پا	پاچه|پا+چه	N1|N1+O	اسم|اسم + چه
4	خیلی	خیلی|خیلی|خیل	خیلی|خیلی|خیل	خیلی|خیلی|خیل+ی	A0|Ad|N1+Y	صفت|قید|اسم + ی
5	مزه	مزه|مزه	مزه|مزه	مزه|مزه	N1|N1	اسم|اسم
6	میده	میده	میده	میده	N
7	.	.	.	.	Si	

0	علی	علی|علی	علی|علی	علی|علی	N3|A0	اسم خاص اشخاص|صفت
1	بود	بود|بود|بود|بو	بود|بود|بود|بو	بود|بود|بود|بو+د	V|N1|V|V	سوم شخص مفرد|اسم|سوم شخص مفرد|سوم شخص مفرد
2	دوست	دوست|دو	دوست|دو	دوست|دو+ست	N1|N1+N	اسم|اسم + ضمیر ملکی سوم شخص مفرد
3	مهرداد	مهرداد	مهرداد	مهرداد	N3	اسم خاص اشخاص
4	سر	سر|سر|سر|سر|سر	سر|سر|سر|سر|سر	سر|سر|سر|سر|سر	V|N1|N1|N1|N9	فعل امر مثبت|اسم|اسم|اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
5	کار	کار|کار	کار|کار	کار|کار	N1|V	اسم|فعل امر مثبت
6	جدیدم	جدید|جدید	جدید|جدید	جدید+م|جدید+م	A0+N|A0+V	صفت + ضمیر ملکی اول شخص مفرد|صفت + فعل اول شخص مفرد
7	هر	هر	هر	هر	A1	صفت اشاره
8	روز	روز	روز	روز	N1	اسم
9	میبینمش	بین	بین	می+بین+م+ش	V	اول شخص مفرد
10	.	.	.	.	Si	

0	سرکار	سرکار|سر	سرکار|سر	سرکار|سر+کار	N1|V1+O	اسم|بن مضارع + کار
1	متوقفم	متوقف|متوقف	متوقف|متوقف	متوقف+م|متوقف+م	A0+N|A0+V	صفت + ضمیر ملکی اول شخص مفرد|صفت + فعل اول شخص مفرد
2	کرد	کرد|کرد	کرد|کرد	کرد|کرد	V|N1	سوم شخص مفرد|اسم
3	هر	هر	هر	هر	A1	صفت اشاره
4	کاری	کاری|کار|کار	کاری|کار|کار	کاری|کار+ی|کار+ی	A0|N1+Y|V	صفت|اسم + ی|دوم شخص مفرد
5	کردم	کرد|کرد|کرد	کرد|کرد|کرد	کرد+م|کرد+م|کرد+م	V|N1+N|N1+V	اول شخص مفرد|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد
6	باز	باز|باز|باز|باز|باز	باز|باز|باز|باز|باز	باز|باز|باز|باز|باز	V|A0|VPr|N1|Ad	فعل امر مثبت|صفت|پیشوند فعل|اسم|قید
7	جریمه	جریمه|جر|جر	جریمه|جر|جر	جریمه|جر+یم+ه|جر+یم+ه	N1|N1+V+O|N1+V+O	اسم|اسم + فعل اول شخص جمع + ه|اسم + فعل اول شخص جمع + ه
8	شدم	شد	شد	شد+م	V	اول شخص مفرد
9	.	.	.	.	Si	

0	برای	برای	برای	برای	Pr	حرف اضافه
1	پنجشنبه	پنجشنبه	پنجشنبه	پنجشنبه	N1	اسم
2	حتما	حتماً	حتماً	حتماً	Ad	قید
3	چراغ	چراغ	چراغ	چراغ	N1	اسم
4	قوه	قوه|قو|قو	قوه|قو|قو	قوه|قو+ه|قو+ه	N1|N1+O|N1+O	اسم|اسم + ه|اسم + ه
5	همراهت	همراه|راه	همراه|راه	همراه+ت|هم+راه+ت	A0+N|O+N1+N	صفت + ضمیر ملکی دوم شخص مفرد|هم + اسم + ضمیر ملکی دوم شخص مفرد
6	باشه	باشه|باش	باشه|باش	باشه|باش+ه	N1|V1+O	اسم|بن مضارع + ه
7	.	.	.	.	Si	

0	دیروز	دیروز	دیروز	دیروز	Ad	قید
1	توی	تو|تو	تو|تو	تو+ی|تو+ی	Ad+Y|N1+Y	قید + ی|اسم + ی
2	جمعه	جمعه|جمع	جمعه|جمع	جمعه|جمع+ه	N1|A0+O	اسم|صفت + ه
3	بازار	بازار|ازار	بازار|ازار	بازار|ب+ازار	N1|O+N1	اسم|ب + اسم
4	همخونه	خون	خون	هم+خون+ه	O+N1+O	هم + اسم + ه
5	سابق	سابق	سابق	سابق	A0	صفت
6	کامیار	کامیار	کامیار	کامیار	N3	اسم خاص اشخاص
7	را	را	را	را	Po	حرف اضافه پسین
8	دیدیم	دید|دید|دید	دید|دید|دید	دید+یم|دید+ی+م|دید+یم	V|V|N1+V	اول شخص جمع|دوم شخص مفرد|اسم + فعل اول شخص جمع
9	.	.	.	.	Si	

0	پس	پس|پس	پس|پس	پس|پس	Ad|N9	قید|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
1	فردا	فردا	فردا	فردا	Ad	قید
2	باید	باید	باید	باید	V4	فعل وجه نما
3	بریم	بر|بر|بر|بر|بر	بر|بر|بر|بر|بر	بر+یم|بر+یم|بر+ی+م|بر+ی+م|بر+یم	V|V|V|V|N1+V	اول شخص جمع|اول شخص جمع|دوم شخص مفرد|دوم شخص مفرد|اسم + فعل اول شخص جمع
4	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
5	کارای	کارا	کارا	کارا+ی	A0+Y	صفت + ی
6	فارغ	فارغ	فارغ	فارغ	A0	صفت
7	التحصیلی	تحصیلی|تحصیل	تحصیلی|تحصیل	تحصیلی|تحصیل+ی	A0|N1+Y	صفت|اسم + ی
8	برسیم	برس|برس|سی|سی	برس|برس|سی|سی	برس+یم|برس+یم|بر+سی+م|بر+سی+م	N1+V|N1+V|O+No+N|O+No+V	اسم + فعل اول شخص جمع|اسم + فعل اول شخص جمع|بر + عدد حرفی + ضمیر ملکی اول شخص مفرد|بر + عدد حرفی + فعل اول شخص مفرد
9	درسته	درسته|درست	درسته|درست	درسته|درست+ه	A0|A0+O	صفت|صفت + ه
10	؟	؟	؟	؟	Si	

0	پسفردا	پس‌فردا	پس‌فردا	پس‌فردا	Ad	قید
1	مصاحبه	مصاحبه|مصاحب	مصاحبه|مصاحب	مصاحبه|مصاحب+ه	N1|N1+O	اسم|اسم + ه
2	کاری	کاری|کار|کار	کاری|کار|کار	کاری|کار+ی|کار+ی	A0|N1+Y|V	صفت|اسم + ی|دوم شخص مفرد
3	دارم	دار|دار|دار	دار|دار|دار	دار+م|دار+م|دار+م	V|N1+N|N1+V	اول شخص مفرد|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد
4	با	با	با	با	Pr	حرف اضافه
5	یکی	یکی	یکی	یکی	A2	صفت مبهم
6	از	از	از	از	Pr	حرف اضافه
7	شرکتهای	شرکت	شرکت	شرکت+ها+ی	N1+Pl+Y	اسم + علامت جمع + ی
8	بزرگ	بزرگ	بزرگ	بزرگ	A0	صفت
9	تهران	تهران	تهران	تهران	N2	اسم خاص مکان
10	.	.	.	.	Si	

0	پردازش	پردازش|پرداز|پرداز	پردازش|پرداز|پرداز	پردازش|پرداز+ش|پرداز+ش	N1|V|N1+N	اسم|سوم شخص مفرد|اسم + ضمیر ملکی سوم شخص مفرد
1	زبان	زبان	زبان	زبان	N1	اسم
2	درس	درس	درس	درس	N1	اسم
3	سختیه	سختی	سختی	سختی+ه	N1+O	اسم + ه
4	هر	هر	هر	هر	A1	صفت اشاره
5	چقدرم	چقدر	چقدر	چقدر	N
6	بلد	بلد	بلد	بلد	N1	اسم
7	باشی	باش	باش	باش+ی	V	دوم شخص مفرد
