0	﻿ما	ما	ما	ما	N5	ضمیر فاعلی
1	قادر	قادر	قادر	قادر	A0	صفت
2	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
3	ارائه	ارائه	ارائه	ارائه	N1	اسم
4	پاسخ	پاسخ	پاسخ	پاسخ	N1	اسم
5	مطمئن	مطمئن	مطمئن	مطمئن	A0	صفت
6	هست	هست|هست	هست|هست	هست|هست	V|N1	سوم شخص مفرد|اسم
7	.	.	.	.	Si	

0	فهرست	فهرست|فهر	فهرست|فهر	فهرست|فهر+ست	N1|N1+N	اسم|اسم + ضمیر ملکی سوم شخص مفرد
1	خصوصیات	خصوصیات|خصوصی	خصوصیات|خصوصی	خصوصیات|خصوصی+ات	N1|A0+Pl	اسم|صفت + علامت جمع
2	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
3	حوزه	حوزه	حوزه	حوزه	N1	اسم
4	رده‌بندی	رده‌بندی	رده‌بندی	رده‌بندی	N1	اسم
5	گیاه	گیاه	گیاه	گیاه	N1	اسم
6	را	را	را	را	Po	حرف اضافه پسین
7	از	از	از	از	Pr	حرف اضافه
8	سایر	سایر	سایر	سایر	N1	اسم
9	حوزه	حوزه	حوزه	حوزه	N1	اسم
10	ی   ی	ی ی	ی ی	ی ی	N
11	زیست‌شناس	زیست‌شناس|زیست	زیست‌شناس|زیست	زیست‌شناس|زیست+شناس	N1|N1+O	اسم|اسم + شناس
12	جدا	جدا	جدا	جدا	A0	صفت
13	کرد | کن	کرد | کن	کرد | کن	کرد | کن	O	
14	حد	حد	حد	حد	N1	اسم
15	اقل	اقل	اقل	اقل	A0	صفت
16	یک	یک	یک	یک	No	عدد حرفی
17	تعریف	تعریف	تعریف	تعریف	N1	اسم
18	فن	فن|فن	فن|فن	فن|فن	N1|N1	اسم|اسم
19	ارائه	ارائه	ارائه	ارائه	N1	اسم
20	کرد | کن	کرد | کن	کرد | کن	کرد | کن	O	
21	اما	اما	اما	اما	C0	حرف ربط
22	این	این|این	این|این	این|این	A1|N6	صفت اشاره|ضمیر اشاره
23	تعریف	تعریف	تعریف	تعریف	N1	اسم
24	مورد	مورد|مورد|مورد	مورد|مورد|مورد	مورد|مورد|مورد	N1|N1|N9	اسم|اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
25	پسند	پسند|پسند	پسند|پسند	پسند|پسند	V|N1	فعل امر مثبت|اسم
26	همگان	همگان|همه|گان	همگان|همه|گان	همگان|همه+گان|هم+گان	N1|N1+Pl|O+N1	اسم|اسم + علامت جمع|هم + اسم
27	قرار	قرار|قرار	قرار|قرار	قرار|قرار	N1|N9	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
28	گرفت | گیر	گرفت | گیر	گرفت | گیر	گرفت | گیر	O	
29	؛	؛	؛	؛	Si	
30	بنابراین	بنابراین|برا	بنابراین|برا	بنابراین|نا+ب+برا+ین	Ad|O+Neg+A0+O	قید|ب + نا + صفت + ین
31	تعریف	تعریف	تعریف	تعریف	N1	اسم
32	اصطلاح	اصطلاح	اصطلاح	اصطلاح	N1	اسم
33	گیاه	گیاه	گیاه	گیاه	N1	اسم
34	همیشه	همیشه	همیشه	همیشه	Ad	قید
35	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
36	معنی	معنی	معنی	معنی	N1	اسم
37	بیشتر	بیشتر|بیش|شتر	بیشتر|بیش|شتر	بیشتر|بیش+تر|بی+شتر	A0|A0+A|O+N1	صفت|صفت + علامت صفت تفضیلی|بی + اسم
38	موجودات	موجود	موجود	موجود+ات	A0+Pl	صفت + علامت جمع
39	زنده	زنده	زنده	زنده	A0	صفت
40	طبقه‌بندی	طبقه‌بندی	طبقه‌بندی	طبقه‌بندی	N1	اسم
41	شده	شد	شد	شد+ه	V3+O	فعل اسنادی + ه
42	در	در|در|در|در|در	در|در|در|در|در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
43	محدوده	محدوده|محدود	محدوده|محدود	محدوده|محدود+ه	N1|A0+O	اسم|صفت + ه
44	رده‌بندی	رده‌بندی	رده‌بندی	رده‌بندی	N1	اسم
45	گیاه	گیاه	گیاه	گیاه	N1	اسم
46	بود | باش	بود | باش	بود | باش	بود | باش	O	
47	.	.	.	.	Si	

0	مثلا	مثلاً	مثلاً	مثلاً	Ad	قید
1	«	«	«	«	Si	
2	اگر	اگر	اگر	اگر	C0	حرف ربط
3	جلبک	جلبک|جلب	جلبک|جلب	جلبک|جلب+ک	N1|N1+O	اسم|اسم + ک
4	سبز	سبز	سبز	سبز	A0	صفت
5	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
6	وضوح	وضوح	وضوح	وضوح	N1	اسم
7	گیاهانی	گیاهان|گیاه	گیاهان|گیاه	گیاهان+ی|گیاه+ان+ی	N1+Y|N1+Pl+Y	اسم + ی|اسم + ان + ی
